,Project_ID,Recipient-ID,Recipient_Name,State/Territory,Reporting_Tier,Recipient_Type,Completion_Status,Project_Name,Expenditure_Category_Group,Expenditure_Category,Project_Description,Adopted_Budget,Total_Cumulative_Obligations,Total_Cumulative_Expenditures,Number_of_Households_Served_(Select_Expenditure_Categories_Only),Number_of_Workers_Served_(Select_Expenditure_Categories_Only),Number_of_Gov_FTE_Responding_to_COVID-19_(Select_Expenditure_Categories_Only),Number_of_Gov_FTE_Rehired_(Select_Expenditure_Categories_Only),Community_benefit_agreement?_(Infrastructure_Only),Complying_with_David_Bacon?_(Infrastructure_Only),Project_labor_agreement?_(Infrastructure_Only),Does_the_Project_have_Capital_Expenditures?_(Yes/No)_(Select_Expenditure_Categories_Only),Type_of_Capital_Expenditures_(Select_Expenditure_Categories_Only),Total_Expected_Cost_of_Capital_Expenditures_(Select_Expenditure_Categories_Only),Primary_Demographic_Served_(Select_Expenditure_Categories_Only),Secondary_Demographic_Served_(Select_Expenditure_Categories_Only),Tertiary_Demographic_Served_(Select_Expenditure_Categories_Only),Project_is_conducting_an_evidence_based_program_evaluation?_(Yes/No),Project_Total_Spending_on_Evidence_Based_Evaluation,timestamp,Number_of_Gov_FTE_Rehired_(Select_Expenditure_Categories_Only)2,Complying_with_Davis_Bacon?_(Infrastructure_Only),Project_being_evaluated_through_rigorous_program_evaluation?,Dollar_amount_of_the_total_project_spending_allocated_towards_evidence-based_interventions,Project_Description_keywords,Project_mention_tracing_yn
10,TPN-025370,RCP-038954,"St. Louis County, Minnesota",Minnesota,"Tier 2.  Metropolitan cities and counties with a population below 250,000 residents that are allocated more than $10 million in SLFRF funding, and NEUs that are allocated more than $10 million in SLFRF funding",Local Government,Completed,Infection Control - Safety & Risk Management,1-Public Health,1.3-COVID-19 Contact Tracing,Costs associated with Safety and Risk Management staff determining return to work status for essential employees.,,12980.25,12980.25,,,,,,,,No,,,1 Imp General Public,,,,,2023-03-31,,,,,"associated, costs, determining, employees, essential, management, return, risk, safety, staff, status, work",False
11,TPN-049803,RCP-038954,"St. Louis County, Minnesota",Minnesota,"Tier 2.  Metropolitan cities and counties with a population below 250,000 residents that are allocated more than $10 million in SLFRF funding, and NEUs that are allocated more than $10 million in SLFRF funding",Local Government,Completed 50% or more,HR COVID position,1-Public Health,1.3-COVID-19 Contact Tracing,This position will deal with all the COVID-related issues for employees and determine when employees need to quarantine and when they can return to work.,,83825.0,77841.18,,,,,,,,No,,,1 Imp General Public,,,,,2023-03-31,,,,,"deal, determine, employees, issues, need, position, quarantine, related, return, work",False
12,TPN-005810,RCP-038954,"St. Louis County, Minnesota",Minnesota,"Tier 2.  Metropolitan cities and counties with a population below 250,000 residents that are allocated more than $10 million in SLFRF funding, and NEUs that are allocated more than $10 million in SLFRF funding",Local Government,Completed,Medical Expenses,1-Public Health,1.3-COVID-19 Contact Tracing,Medical expenses related to determining if employees are fit for duty,,422.0,422.0,,,,,,,,No,,,1 Imp General Public,,,,,2023-03-31,,,,,"determining, duty, employees, expenses, fit, medical, related",False
13,TPN-078849,RCP-039003,"Saginaw County, Michigan",Michigan,"Tier 2.  Metropolitan cities and counties with a population below 250,000 residents that are allocated more than $10 million in SLFRF funding, and NEUs that are allocated more than $10 million in SLFRF funding",Local Government,Completed 50% or more,COVID Contact Tracing,1-Public Health,1.3-COVID-19 Contact Tracing,Temporary public employee to document positive COVID cases and perform contact tracing within the workforce.,36346.0,3328.91,3328.91,,,,,,,,No,,,1 Imp General Public,,,,,2023-03-31,,,,,"cases, contact, covid, document, employee, perform, positive, public, temporary, tracing, workforce",True
14,TPN-010728,RCP-036013,"City Of Baltimore, Maryland",Maryland,"Tier 1. States, U.S. territories, metropolitan cities and counties with a population that exceeds 250,000 residents",Local Government,Completed less than 50%,COVID19 Health Response - Contact Tracing,1-Public Health,1.3-COVID-19 Contact Tracing,"The Baltimore City Health Department (BCHD) will fund contact tracing services to prevent and control COVID-19 infection (or transmission) among populations at higher risk and that are underserved, including racial and ethnic minority groups. Performance measures include percent of contacts and cases reached.",3160000.0,3160000.0,878482.04,,,,,,,,No,,,1 Imp General Public,,,,,2023-03-31,,,,,"baltimore, bchd, cases, city, contact, contacts, control, covid-19, department, ethnic, fund, groups, health, higher, include, including, infection, measures, minority, percent, performance, populations, prevent, racial, reached, risk, services, tracing, transmission, underserved",True
15,TPN-004383,RCP-038647,"Deschutes County, Oregon",Oregon,"Tier 2.  Metropolitan cities and counties with a population below 250,000 residents that are allocated more than $10 million in SLFRF funding, and NEUs that are allocated more than $10 million in SLFRF funding",Local Government,Completed,Health Services Contact Tracing,1-Public Health,1.3-COVID-19 Contact Tracing,"This was funding for the Health Services Department, for additional temporary staff to complete contact tracing and case investigation in response to COVID-19.",,2364093.0,2339788.54,,,,,,,,No,,,1 Imp General Public,7 Imp Other HHs or populations that experienced a negative economic,,,,2023-03-31,,,,,"additional, case, complete, contact, covid-19, department, funding, health, investigation, response, services, staff, temporary, tracing",True
16,TPN-091506,RCP-036669,"City Of Kansas City, Kansas",Kansas,"Tier 2.  Metropolitan cities and counties with a population below 250,000 residents that are allocated more than $10 million in SLFRF funding, and NEUs that are allocated more than $10 million in SLFRF funding",Local Government,Completed,Disease Investigation Staff,1-Public Health,1.3-COVID-19 Contact Tracing,Contact Tracing/Case investigation/EPI staff 2021  - 2022.,360535.26,283731.82,283731.82,,,,,,,,No,,,1 Imp General Public,,,,,2023-03-31,,,,,"case, contact, epi, investigation, staff, tracing",True
17,TPN-064274,RCP-040166,"Westfield, Massachusetts",Massachusetts,"Tier 2.  Metropolitan cities and counties with a population below 250,000 residents that are allocated more than $10 million in SLFRF funding, and NEUs that are allocated more than $10 million in SLFRF funding",Local Government,Completed,Health Dept Contact Tracing,1-Public Health,1.3-COVID-19 Contact Tracing,Health Department hired contact tracers for the City of Westfield after the State of Massachusetts stopped doing it.,13412.5,13412.5,13412.5,,,,,,,,No,,,1 Imp General Public,,,,,2023-03-31,,,,,"city, contact, department, health, hired, massachusetts, state, stopped, tracers, westfield",True
18,TPN-094921,RCP-040166,"Westfield, Massachusetts",Massachusetts,"Tier 2.  Metropolitan cities and counties with a population below 250,000 residents that are allocated more than $10 million in SLFRF funding, and NEUs that are allocated more than $10 million in SLFRF funding",Local Government,Completed,Contact  Tracer II,1-Public Health,1.3-COVID-19 Contact Tracing,contact tracer to continue work within the Health Department.,4650.0,4650.0,4650.0,,,,,,,,No,,,1 Imp General Public,,,,,2023-03-31,,,,,"contact, continue, department, health, tracer, work",True
19,TPN-087621,RCP-036667,"Isabela Municipio, Puerto Rico",Puerto Rico,"Tier 2.  Metropolitan cities and counties with a population below 250,000 residents that are allocated more than $10 million in SLFRF funding, and NEUs that are allocated more than $10 million in SLFRF funding",Local Government,Completed less than 50%,Contact Tracing Program,1-Public Health,1.3-COVID-19 Contact Tracing,To continue with the contact tracing program due to all incoming variants that we are experienced.,,470805.41,404529.51,,,,,,,,No,,,1 Imp General Public,1 Imp General Public,2 Imp Low or moderate income HHs or populations,,,2023-03-31,,,,,"contact, continue, experienced, incoming, program, tracing, variants",True
20,TPN-097453,RCP-038552,"County Of Bristol, Massachusetts",Massachusetts,"Tier 1. States, U.S. territories, metropolitan cities and counties with a population that exceeds 250,000 residents",Local Government,Completed,Town of Mansfield school contact tracing,1-Public Health,1.3-COVID-19 Contact Tracing,The school nurses have performed the tasks involved in contact tracing during the pandemic. They have earned their hourly wage during the afterschool and weekend hours so they are able to complete all of the phone calls to families to provide direction and support for students who were close contacts to a COVID-positive student or staff member. Parents/guardians have many questions when COVID hits close to their homes and they rely on the expertise of our registered nurses to provide the information to meet their needs.,12978.0,12978.0,12978.0,,,,,,,,No,,,1 Imp General Public,,,,,2023-03-31,,,,,"able, afterschool, calls, close, complete, contact, contacts, covid, direction, earned, expertise, families, guardians, hits, homes, hourly, hours, information, involved, meet, member, needs, nurses, pandemic, parents, performed, phone, positive, provide, questions, registered, rely, school, staff, student, students, support, tasks, tracing, wage, weekend",True
21,TPN-097510,RCP-038552,"County Of Bristol, Massachusetts",Massachusetts,"Tier 1. States, U.S. territories, metropolitan cities and counties with a population that exceeds 250,000 residents",Local Government,Completed less than 50%,City of Taunton BOH contract tracing nurse,1-Public Health,1.3-COVID-19 Contact Tracing,"The Contract Tracing Nurse is responsible for outreach to individuals who have tested positive for COVID-19 as well as those who are identified as close contacts of a positive individual to provide health education and guidance to interrupt disease transmission. Guided by standard protocols for assessing symptoms, exposure, and other relevant health information, the tracing nurse provides instruction for isolation, self-quarantine, testing, and refers for any needed clinical services.
Based on current cases per day, approx 7,000 people a year will be served by this, with the potential to serve the entire city. Approx 40% of that figure are low to moderate income. 
Program focus mainly on COVID positive people, elderly, children & low to moderate income. Visit over 55 living, soup kitchens, camps, etc... BOH uses survey (verbal), and evaluations of the program to ensure success.",90000.0,45000.0,45000.0,,,,,,,,No,,,1 Imp General Public,,,,,2023-03-31,,,,,"%, approx, assessing, based, boh, camps, cases, children, city, clinical, close, contacts, contract, covid, covid-19, current, day, disease, education, elderly, ensure, entire, evaluations, exposure, figure, focus, guidance, guided, health, identified, income, individual, individuals, information, instruction, interrupt, isolation, kitchens, living, low, moderate, needed, nurse, outreach, people, positive, potential, program, protocols, provide, provides, quarantine, refers, relevant, responsible, self, serve, served, services, soup, standard, success, survey, symptoms, tested, testing, tracing, transmission, uses, verbal, visit, year",True
