,Unnamed: 0,source,pm_start_date,pm_end_date,pm_location,cases_assigned_count,cases_interviewed_count,cases_interviewed_perc,cases_named_contacts_count,cases_not_assigned_count,cases_per_staff_month,cases_positive_from_test_mean,cases_positive_from_test_med,cases_reached_count,cases_reached_from_exposure_mean,cases_reached_from_positive_max,cases_reached_from_positive_med,cases_reached_from_symptom_mean,cases_reached_from_symptom_med,cases_reached_from_test_mean,cases_reached_from_test_med,cases_reached_perc,cases_were_contacts_count,contacts_assigned_count,contacts_infected_count,contacts_infected_perc,contacts_interviewed_count,contacts_interviewed_perc,contacts_named_count,contacts_named_count_household,contacts_named_perc,contacts_named_perc_household,contacts_named_ratio_mean,contacts_named_ratio_mean_cases_naming,contacts_named_ratio_mean_household,contacts_named_ratio_med,contacts_per_staff_month,contacts_reached_count,contacts_reached_from_exposure_mean,contacts_reached_from_exposure_med,contacts_reached_from_named_mean,contacts_reached_from_named_med,contacts_reached_from_symptom_med,contacts_reached_from_test_mean,contacts_reached_from_test_med,contacts_reached_perc,contacts_tested_count,hd_cases_interviewed_perc_hdcount,hd_cases_interviewed_perc_mean,hd_cases_interviewed_perc_med,hd_cases_positive_from_test_mean_hdcount,hd_cases_positive_from_test_mean_mean,hd_cases_positive_from_test_mean_med,hd_cases_reached_from_test_mean_hdcount,hd_cases_reached_from_test_mean_mean,hd_cases_reached_from_test_mean_med,hd_cases_was_contacts_perc_hdcount,hd_cases_was_contacts_perc_mean,hd_cases_was_contacts_perc_med,hd_contacts_named_ratio_mean_cases_naming_hdcount,hd_contacts_named_ratio_mean_cases_naming_mean,hd_contacts_named_ratio_mean_cases_naming_med,hd_contacts_named_ratio_mean_hdcount,hd_contacts_named_ratio_mean_mean,hd_contacts_named_ratio_mean_med,hd_contacts_reached_from_named_mean_hdcount,hd_contacts_reached_from_named_mean_mean,hd_contacts_reached_from_named_mean_med,hd_contacts_reached_perc_hdcount,hd_contacts_reached_perc_mean,hd_contacts_reached_perc_med,hd_contacts_test_from_notified_hdcount,hd_contacts_test_from_notified_mean,hd_contacts_test_from_notified_med,hd_percent_naming_contcts_hdcount,hd_percent_naming_contcts_mean,hd_percent_naming_contcts_med,hr_hours,monetary_cost,notifications_sent_count,num_users_count,num_users_upper_bound,percent_naming_contacts,quarantine_adherent_perc,staff_hired_ci_count,staff_hired_ci_per_health_dept_mean,staff_hired_count,staff_hired_ct_count,staff_hired_ct_per_health_dept_mean,user_cases_notifying,users_with_code,region,time_period
10,10,An Academic-Health Department Community Partnership to Expand Disease Investigation and Contact Tracing Capacity and Efficiency During the COVID-19  Pandemic.,2020-12-01,12/31/2020,Maimi University,,,,,,,,,,,,,,,,,69.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Midwest,T3
11,11,Application of COVIDTracer to Inform Public Health Workforce Planning in Alaska During the COVID-19 Pandemic.,2021-03-01,03/31/2020,Alaska,,,,,,,,,,172.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T3
12,12,Application of COVIDTracer to Inform Public Health Workforce Planning in Alaska During the COVID-19 Pandemic.,2021-07-01,07/31/2021,Alaska,,,,,,,,,,156.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T5
13,13,Application of COVIDTracer to Inform Public Health Workforce Planning in Alaska During the COVID-19 Pandemic.,2020-08-01,08/31/2020,Alaska,,,,,,,,,,166.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T2
14,14,Application of COVIDTracer to Inform Public Health Workforce Planning in Alaska During the COVID-19 Pandemic.,2020-10-01,10/31/2020,Alaska,,,,,,,,,,168.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T2
15,15,"Assessing Testing Strategies and Duration of Quarantine in Contact Tracing for SARS-CoV-2: A Retrospective Study of San Francisco's COVID-19 Contact Tracing  Program, June-August 2020.",2020-06-08,08/31/2020,San Fransico,,,,2506.0,,,,,,,,,,,,,,,,880.0,12.67,,,6946.0,,,,,,,,,,,,,,,,,,3008.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Northwest,T2
16,16,Assessment of a COVID-19 Control Plan on an Urban University Campus During a Second Wave of the Pandemic.,2020-09-01,09/30/2020,Boston University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Northeast,T2
17,17,Assessment of a COVID-19 Control Plan on an Urban University Campus During a Second Wave of the Pandemic.,2020-12-01,12/31/2020,Boston University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Northeast,T3
18,18,Assessment of a COVID-19 Control Plan on an Urban University Campus During a Second Wave of the Pandemic.,2020-12-20,01/31/2021,Boston University,,,,,,,,,,,,,,,,,,,,,10.3,,,,,,,2.44,,,,,,,,,,,6.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Northeast,T3
19,19,"Automated Digital Notification of COVID-19 Diagnoses Through Text and Email Messaging - North Carolina, December 2020-January 2021.",2021-01-01,01/31/2021,North Carolina,200258.0,,,,,,,,121875.0,,,,,,,,60.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Northeast,T3
20,20,Benchmarking SARS CoV-2 Infection in the Workplace to Support Continuity of Operations.,2020-04-01,01/08/2021,Oak Ridge National Laboratory,,,,,,,13.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,South,T1
21,21,"COVID-19 Case Investigation and Contact Tracing in Central Washington State, June-July 2020.",2020-06-15,07/12/2020,central WA,4987.0,3534.0,71.0,968.0,,,,,3994.0,,,,,,,,80.09,,,,,1941.0,85.0,2293.0,1799.0,,,2.4,,1.9,,,2002.0,,,,,,,,87.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.0,,,,,,,,,Northwest,T2
22,22,"COVID-19 Case Investigation and Contact Tracing in New York City, June 1, 2020, to October 31, 2021.",2020-06-01,10/31/2021,New York City,941035.0,711379.0,75.6,421544.0,,,,,840922.0,,,,,112.8,,62.4,89.36,,,,,590364.0,48.44,1218650.0,,,,,,,1.4,,904927.0,,,,4.8,,,,74.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,600000000.0,,,,59.26,,,,,,,,,Northeast,T2
23,23,"COVID-19 Case Investigation and Contact Tracing in the US, 2020.",2020-06-01,10/31/2020,Loc N,,2962.0,,631.0,,,,,,,,,,,,,,,,,,,,1507.0,,,,,,,,,816.0,,,,,,,,54.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.3,,,,,,,,,,T2
24,24,"COVID-19 Case Investigation and Contact Tracing in the US, 2020.",2020-06-01,10/31/2020,Loc_M,22032.0,10290.0,46.7,7284.0,,,,,,,,,,,,,,,,,,,,24190.0,,,,,,,,,17909.0,,,,,,,,74.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.79,,,,,,,,,,T2
25,25,"COVID-19 Case Investigation and Contact Tracing in the US, 2020.",2020-06-01,10/31/2020,Loc_N,8987.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T2
26,26,"COVID-19 Case Investigation and Contact Tracing in the US, 2020.",2020-06-01,10/31/2020,across US,74185.0,43931.0,59.22,24705.0,,,,,,,,,,,,,,,,,,,,74839.0,,,,,,,,,53314.0,,,,,,,,71.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.24,,,,,,,,,US,T2
27,27,"COVID-19 Case Investigation and Contact Tracing in the US, 2020.",2020-06-01,10/31/2020,loc_A,40.0,40.0,100.0,40.0,,,,,,,,,,,,,,,,,,,,117.0,,,,,,,,,62.0,,,,,,,,52.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,,,,,,,,,West,T2
28,28,"COVID-19 Case Investigation and Contact Tracing in the US, 2020.",2020-06-01,10/31/2020,loc_B,589.0,584.0,99.15,382.0,,,,,,,,,,,,,,,,,,,,1446.0,,,,,,,,,602.0,,,,,,,,41.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.41,,,,,,,,,South,T2
29,29,"COVID-19 Case Investigation and Contact Tracing in the US, 2020.",2020-06-01,10/31/2020,loc_C,146.0,144.0,98.63,125.0,,,,,,,,,,,,,,,,,,,,404.0,,,,,,,,,382.0,,,,,,,,94.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.81,,,,,,,,,Northeast,T2
30,30,"COVID-19 Case Investigation and Contact Tracing in the US, 2020.",2020-06-01,10/31/2020,loc_D,137.0,136.0,99.27,86.0,,,,,,,,,,,,,,,,,,,,359.0,,,,,,,,,341.0,,,,,,,,94.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.24,,,,,,,,,Midwest,T2
31,31,"COVID-19 Case Investigation and Contact Tracing in the US, 2020.",2020-06-01,10/31/2020,loc_E,718.0,655.0,91.23,289.0,,,,,,,,,,,,,,,,,,,,712.0,,,,,,,,,604.0,,,,,,,,84.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.12,,,,,,,,,West,T2
32,32,"COVID-19 Case Investigation and Contact Tracing in the US, 2020.",2020-06-01,10/31/2020,loc_F,479.0,405.0,84.55,358.0,,,,,,,,,,,,,,,,,,,,1418.0,,,,,,,,,982.0,,,,,,,,69.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.4,,,,,,,,,Midwest,T2
33,33,"COVID-19 Case Investigation and Contact Tracing in the US, 2020.",2020-06-01,10/31/2020,loc_G,7041.0,5823.0,82.7,5084.0,,,,,,,,,,,,,,,,,,,,10927.0,,,,,,,,,6645.0,,,,,,,,60.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.31,,,,,,,,,West,T2
34,34,"COVID-19 Case Investigation and Contact Tracing in the US, 2020.",2020-06-01,10/31/2020,loc_H,5087.0,3961.0,77.87,2392.0,,,,,,,,,,,,,,,,,,,,6068.0,,,,,,,,,5499.0,,,,,,,,90.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.39,,,,,,,,,Midwest,T2
35,35,"COVID-19 Case Investigation and Contact Tracing in the US, 2020.",2020-06-01,10/31/2020,loc_I,7116.0,5514.0,77.49,2890.0,,,,,,,,,,,,,,,,,,,,13401.0,,,,,,,,,10070.0,,,,,,,,75.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.41,,,,,,,,,South,T2
36,36,"COVID-19 Case Investigation and Contact Tracing in the US, 2020.",2020-06-01,10/31/2020,loc_J,493.0,369.0,74.85,68.0,,,,,,,,,,,,,,,,,,,,173.0,,,,,,,,,155.0,,,,,,,,89.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.43,,,,,,,,,West,T2
37,37,"COVID-19 Case Investigation and Contact Tracing in the US, 2020.",2020-06-01,10/31/2020,loc_K,10563.0,7820.0,74.03,3651.0,,,,,,,,,,,,,,,,,,,,11569.0,,,,,,,,,6773.0,,,,,,,,58.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.69,,,,,,,,,Northeast,T2
38,38,"COVID-19 Case Investigation and Contact Tracing in the US, 2020.",2020-06-01,10/31/2020,loc_L,10757.0,5228.0,48.6,1425.0,,,,,,,,,,,,,,,,,,,,2848.0,,,,,,,,,2474.0,,,,,,,,86.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.26,,,,,,,,,South,T2
39,39,"COVID-19 Contact Tracing Outcomes in Washington State, August and October 2020.",2020-08-01,08/31/2020,WA,4600.0,3000.0,65.0,992.0,7921.0,,,48.0,3567.0,,,,,168.0,,96.0,77.54,,,,,2212.0,86.0,2589.0,2060.0,,80.0,2.6,,,2.0,,2289.0,,,0.0,,,,,88.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.07,,,,,,,,,Northwest,T2
40,40,"COVID-19 Contact Tracing Outcomes in Washington State, August and October 2020.",2020-10-01,10/31/2020,WA,2166.0,1639.0,76.0,730.0,14102.0,,,48.0,1792.0,,,,,144.0,,72.0,82.73,,,,,1730.0,78.0,2218.0,2060.0,,74.0,3.0,,,2.0,,1808.0,,,0.0,,,,,81.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.0,,,,,,,,,Northwest,T2
41,41,"COVID-19 Contact Tracing Outcomes in Washington State, August and October 2020.",2020-08-01,8/31/2020,WA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.0,,,,,,,,,Northwest,T2
42,42,"COVID-19 Contact Tracing in Two Counties - North Carolina, June-July 2020.",2020-06-01,06/30/2020,Mecklenburg,7116.0,5514.0,77.49,2890.0,,,,48.0,,,,,,,,96.0,,,,137.0,1.02,9815.0,73.24,13401.0,,,,,4.6,,,,10070.0,,,,24.0,,,144.0,75.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.41,,,,,,,,,Northeast,T2
43,43,"COVID-19 Contact Tracing in Two Counties - North Carolina, June-July 2020.",2020-06-15,07/12/2020,Randolph County,589.0,584.0,99.15,382.0,,,,72.0,,,,,,,,72.0,,,,,,552.0,48.17,1146.0,,,,,3.0,,,,602.0,,,,72.0,,,144.0,52.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.41,,,,,,,,,Northeast,T2
44,44,"Case Investigation and Contact Tracing Efforts From Health Departments in the United States, November 2020 to December 2021.",2020-11-01,2020-12-01,64 HD accross US and collonies,3861466.0,1859220.0,48.15,971415.0,,113.0,,,,,,,,,,,,338605.0,,,,,,2935489.0,,,,,,,,114.0,1433604.0,,,,,,,,48.84,437285.0,53.0,54.1,61.9,48.0,60.0,48.0,47.0,64.8,48.0,44.0,11.0,5.6,47.0,2.9,2.6,52.0,1.5,1.4,43.0,31.2,,47.0,58.8,64.4,40.0,31.1,29.4,45.0,53.9,53.4,,,,,,52.25,,45964.0,867.0,,45363.0,856.0,,,US,T3
45,45,"Case Investigation and Contact Tracing Efforts From Health Departments in the United States, November 2020 to December 2021.",2020-12-01,2021-01-01,64 HD accross US and collonies,6078802.0,2573653.0,42.34,1214861.0,,135.0,,,,,,,,,,,,473160.0,,,,,,2816336.0,,,,,,,,104.0,1416703.0,,,,,,,,50.3,512570.0,51.0,50.5,53.9,48.0,52.8,48.0,47.0,52.8,24.0,45.0,9.4,5.1,46.0,2.5,2.5,50.0,1.3,1.2,44.0,33.6,,48.0,52.5,58.2,40.0,35.2,33.8,46.0,50.4,50.0,,,,,,47.2,,54651.0,1072.0,,54905.0,1077.0,,,US,T3
46,46,"Case Investigation and Contact Tracing Efforts From Health Departments in the United States, November 2020 to December 2021.",2021-01-01,2021-02-01,64 HD accross US and collonies,6050877.0,2681000.0,44.31,1189296.0,,133.0,,,,,,,,,,,,299196.0,,,,,,2304238.0,,,,,,,,91.0,1438461.0,,,,,,,,62.43,445689.0,53.0,52.9,54.2,52.0,52.8,48.0,51.0,55.2,24.0,48.0,7.7,5.4,50.0,2.5,2.4,53.0,1.1,1.0,48.0,40.8,96.0,48.0,53.1,54.5,42.0,36.2,30.0,48.0,48.0,45.9,,,,,,44.36,,54587.0,1011.0,,52114.0,948.0,,,US,T3
47,47,"Case Investigation and Contact Tracing Efforts From Health Departments in the United States, November 2020 to December 2021.",2021-02-01,2021-03-01,64 HD accross US and collonies,3079448.0,1553633.0,50.45,741557.0,,72.0,,,,,,,,,,,,216609.0,,,,,,1654446.0,,,,,,,,77.0,1098438.0,,,,,,,,66.39,262967.0,53.0,60.8,66.5,53.0,38.4,38.4,51.0,28.8,24.0,47.0,9.3,6.6,49.0,2.5,2.5,52.0,1.3,1.2,47.0,48.0,,47.0,58.2,64.0,39.0,30.3,21.4,47.0,49.7,47.3,,,,,,47.73,,51794.0,977.0,,50066.0,927.0,,,US,T3
48,48,"Case Investigation and Contact Tracing Efforts From Health Departments in the United States, November 2020 to December 2021.",2021-03-01,2021-04-01,64 HD accross US and collonies,1661864.0,948154.0,57.05,431306.0,,56.0,,,,,,,,,,,,119798.0,,,,,,1169024.0,,,,,,,,58.0,783554.0,,,,,,,,67.03,226052.0,53.0,61.3,66.3,52.0,38.4,24.0,50.0,26.4,24.0,47.0,9.2,5.7,49.0,2.7,2.6,52.0,1.3,1.2,49.0,24.0,,50.0,61.4,67.7,41.0,30.7,23.0,50.0,51.2,48.5,,,,,,45.49,,43401.0,819.0,,45374.0,840.0,,,US,T3
49,49,"Case Investigation and Contact Tracing Efforts From Health Departments in the United States, November 2020 to December 2021.",2021-04-01,2021-05-01,64 HD accross US and collonies,2046549.0,1138136.0,55.61,527953.0,,71.0,,,,,,,,,,,,128536.0,,,,,,1439418.0,,,,,,,,78.0,940863.0,,,,,,,,65.36,263113.0,54.0,60.2,65.6,54.0,38.4,24.0,52.0,31.2,24.0,47.0,8.3,4.3,50.0,2.7,2.7,53.0,1.4,1.1,50.0,,,50.0,62.7,64.4,42.0,30.3,24.1,51.0,52.9,51.6,,,,,,46.39,,42009.0,778.0,,42095.0,765.0,,,US,T4
50,50,"Case Investigation and Contact Tracing Efforts From Health Departments in the United States, November 2020 to December 2021.",2021-05-01,2021-06-01,64 HD accross US and collonies,1107656.0,615707.0,55.59,301459.0,,56.0,,,,,,,,,,,,96158.0,,,,,,932612.0,,,,,,,,64.0,597910.0,,,,,,,,64.11,148570.0,53.0,61.8,65.1,53.0,38.4,24.0,51.0,26.4,24.0,47.0,9.3,5.1,49.0,2.9,2.7,52.0,1.6,1.4,49.0,,,48.0,58.3,61.5,41.0,27.5,20.5,49.0,54.1,54.9,,,,,,48.96,,32989.0,622.0,,33662.0,623.0,,,US,T4
51,51,"Case Investigation and Contact Tracing Efforts From Health Departments in the United States, November 2020 to December 2021.",2021-06-01,2021-07-01,64 HD accross US and collonies,444318.0,217527.0,48.96,103606.0,,32.0,,,,,,,,,,,,31977.0,,,,,,271626.0,,,,,,,,34.0,206171.0,,,,,,,,75.9,48560.0,53.0,61.6,66.5,52.0,33.6,24.0,51.0,26.4,24.0,47.0,8.1,4.7,49.0,2.8,2.7,52.0,1.5,1.4,48.0,,,48.0,66.9,68.7,41.0,30.3,24.0,50.0,54.8,56.3,,,,,,47.63,,26393.0,498.0,,29628.0,549.0,,,US,T5
52,52,"Case Investigation and Contact Tracing Efforts From Health Departments in the United States, November 2020 to December 2021.",2021-07-01,2021-08-01,64 HD accross US and collonies,1241487.0,526305.0,42.39,219091.0,,66.0,,,,,,,,,,,,70464.0,,,,,,423420.0,,,,,,,,52.0,285002.0,,,,,,,,67.31,90138.0,53.0,58.5,62.9,51.0,33.6,24.0,51.0,31.2,24.0,49.0,9.8,5.6,49.0,2.4,2.6,52.0,1.2,1.0,48.0,,,47.0,55.6,60.3,42.0,33.1,26.0,49.0,50.8,55.0,,,,,,41.63,,26288.0,487.0,,23383.0,425.0,,,US,T5
53,53,"Case Investigation and Contact Tracing Efforts From Health Departments in the United States, November 2020 to December 2021.",2021-08-01,2021-09-01,64 HD accross US and collonies,4046250.0,1265108.0,31.27,523605.0,,208.0,,,,,,,,,,,,176781.0,,,,,,1200506.0,,,,,,,,108.0,735357.0,,,,,,,,61.25,240374.0,53.0,46.1,46.0,52.0,38.4,24.0,52.0,40.8,24.0,50.0,6.5,2.4,50.0,2.5,2.6,52.0,1.1,1.0,50.0,,,48.0,53.6,52.9,44.0,35.0,24.4,51.0,46.9,47.0,,,,,,41.39,,28578.0,539.0,,23967.0,444.0,,,US,T5
54,54,"Case Investigation and Contact Tracing Efforts From Health Departments in the United States, November 2020 to December 2021.",2021-09-01,2021-10-01,64 HD accross US and collonies,4363750.0,1318087.0,30.21,527769.0,,242.0,,,,,,,,,,,,157856.0,,,,,,1438075.0,,,,,,,,110.0,838427.0,,,,,,,,58.3,260207.0,54.0,44.0,39.5,54.0,40.8,48.0,53.0,40.8,24.0,51.0,6.4,3.7,50.0,2.9,2.7,53.0,1.3,1.1,50.0,,,48.0,51.1,49.9,46.0,35.6,23.7,51.0,45.1,47.2,,,,,,40.04,,29657.0,570.0,,25213.0,467.0,,,US,T5
